Date,Confirmed,Recovered,Active,Death
2020-01-30,1,0,1,0
2020-02-02,1,0,2,0
2020-02-03,1,0,3,0
2020-02-16,0,2,1,0
2020-02-20,0,1,0,0
2020-03-09,6,0,6,0
2020-03-10,8,0,14,0
2020-03-12,2,0,16,0
2020-03-13,3,0,19,0
2020-03-15,2,0,21,0
2020-03-16,3,0,24,0
2020-03-19,1,0,25,0
2020-03-20,12,0,37,0
2020-03-21,12,0,49,0
2020-03-22,15,0,64,0
2020-03-23,28,1,91,0
2020-03-24,14,0,105,0
2020-03-25,9,2,112,0
2020-03-26,19,6,125,0
2020-03-27,39,0,164,0
2020-03-28,6,4,165,1
2020-03-29,20,4,181,0
2020-03-30,32,0,213,0
2020-03-31,7,4,215,1
2020-04-01,24,2,237,0
2020-04-02,21,2,256,0
2020-04-03,9,14,251,0
2020-04-04,11,8,254,0
2020-04-05,8,6,256,0
2020-04-06,13,3,266,0
2020-04-07,8,12,262,0
2020-04-08,9,13,258,0
2020-04-09,12,13,257,0
2020-04-10,7,27,237,0
2020-04-11,10,19,228,0
2020-04-12,2,36,194,0
2020-04-13,3,19,178,0
2020-04-14,8,13,173,0
2020-04-15,1,7,167,0
2020-04-16,7,27,147,0
2020-04-17,1,10,138,0
2020-04-18,4,2,140,0
2020-04-19,2,13,129,0
2020-04-20,6,21,114,0
2020-04-21,19,16,117,0
2020-04-22,11,1,127,0
2020-04-23,10,8,129,0
2020-04-24,3,15,116,1
2020-04-25,7,7,116,0
2020-04-26,11,4,123,0
2020-04-27,13,13,123,0
2020-04-28,4,4,123,0
2020-04-29,10,10,123,0
2020-04-30,2,14,111,0
2020-05-01,0,9,102,0
2020-05-02,2,8,96,0
2020-05-03,0,1,95,0
2020-05-04,0,61,34,0
2020-05-05,3,0,37,0
2020-05-06,0,7,30,0
2020-05-07,0,5,25,0
2020-05-08,1,10,16,0
2020-05-09,2,1,17,0
2020-05-10,7,4,20,0
2020-05-11,7,0,27,0
2020-05-12,5,0,32,0
2020-05-13,10,1,41,0
2020-05-14,26,3,64,0
2020-05-15,16,0,80,0
2020-05-16,11,4,87,0
2020-05-17,14,0,101,0
2020-05-18,29,0,130,0
2020-05-19,12,0,142,0
2020-05-20,24,5,161,0
2020-05-21,24,8,177,0
2020-05-22,42,2,216,1
2020-05-23,62,3,275,0
2020-05-24,53,5,322,1
2020-05-25,49,12,359,0
2020-05-26,67,10,415,1
2020-05-27,40,10,445,0
2020-05-28,85,3,526,1
2020-05-29,62,10,577,1
2020-05-30,58,10,624,1
2020-05-31,61,15,670,0
2020-06-01,57,18,708,1
2020-06-02,86,19,774,1
2020-06-03,82,24,832,0
2020-06-04,94,39,884,3
2020-06-05,111,22,972,0
2020-06-06,108,50,1029,1
2020-06-07,107,41,1095,0
2020-06-08,91,11,1174,1
2020-06-09,91,34,1231,0
2020-06-10,65,57,1238,1
2020-06-11,83,62,1258,1
2020-06-12,78,32,1303,1
2020-06-13,85,46,1342,0
2020-06-14,54,56,1340,0
2020-06-15,82,73,1347,1
2020-06-16,79,60,1366,0
2020-06-17,75,90,1351,0
2020-06-18,97,89,1358,1
2020-06-19,118,96,1380,0
2020-06-20,127,57,1450,0
2020-06-21,133,93,1490,0
2020-06-22,138,88,1540,0
2020-06-23,141,60,1620,1
2020-06-24,152,81,1691,0
2020-06-25,123,53,1761,0
2020-06-26,150,65,1846,0
2020-06-27,195,102,1939,0
2020-06-28,118,42,2015,0
2020-06-29,122,79,2057,1
2020-06-30,131,75,2112,1
2020-07-01,151,132,2130,1
2020-07-02,160,202,2088,0
2020-07-03,211,201,2098,0
2020-07-04,240,209,2129,0
2020-07-05,225,126,2228,0
2020-07-06,193,167,2252,2
2020-07-07,272,111,2411,0
2020-07-08,301,107,2605,0
2020-07-09,339,149,2795,0
2020-07-10,416,112,3099,0
2020-07-11,488,143,3442,2
2020-07-12,435,132,3743,2
2020-07-13,449,162,4028,2
2020-07-14,608,181,4454,1
2020-07-15,623,196,4880,1
2020-07-16,722,228,5372,2
2020-07-17,791,133,6029,1
2020-07-18,593,204,6416,2
2020-07-19,821,172,7063,2
2020-07-20,794,245,7611,1
2020-07-21,720,274,8056,1
2020-07-22,1038,272,8818,1
2020-07-23,1078,432,9458,5
2020-07-24,885,968,9371,4
2020-07-25,1103,1049,9420,5
2020-07-26,927,689,9655,2
2020-07-27,702,745,9609,2
2020-07-28,1167,679,10093,4
2020-07-29,903,641,10353,1
2020-07-30,506,794,10059,2
2020-07-31,1310,864,10498,3
2020-08-01,1129,752,10865,8
2020-08-02,1169,688,11345,1
2020-08-03,962,815,11487,2
2020-08-04,1083,1021,11543,3
2020-08-05,1195,1234,11495,7
2020-08-06,1298,800,11986,3
